detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1242481883,1220,1,8000070042
3,1242481883,1221,1,8000070042
3,1242481883,1221,1,7004280000
3,1242481883,1221,1,7004280000
3,1242481883,1221,1,7004280000
3,1242481883,1222,1,7004280000
3,1242481883,1224,1,7004280000
3,1242481883,1224,1,7004280000
3,1242481883,1224,1,7004280000
3,1242481883,1225,1,7004280000
3,1242481883,1225,1,7004280000
3,1242481883,1225,1,7004280000
3,1242481883,1225,1,8000070042
3,1242481883,1227,1,8000070042
3,1242481883,1227,1,7004290042
3,1242481883,1228,1,7004290042
