detectedActivity,geoHash,minuteOfDay,weekday,journey
6,1254438087,1196,1,7004280000
7,1254437839,303,1,7004280000
4,1254438087,1179,1,7004280000
6,1254438087,411,1,7004280000
7,1254438087,1319,1,7004280000
2,1254438211,289,1,7004280000
6,1254438211,166,1,7004280000
4,1254438087,382,1,7004280000
7,1254438087,497,1,7004280000
1,1254438087,307,1,7004280000
7,1254438211,690,1,7004280000
3,1254438087,638,1,7004280000
7,1254438211,654,1,7004280000
2,1254438211,1158,1,7004280000
0,1254437963,144,1,7004280000
6,1254438087,546,1,7004280000
3,1254438211,857,1,7004280000
6,1254438087,1259,1,7004280000
7,1254437963,728,1,7004280000
1,1254438087,295,1,7004280000
0,1254438087,582,1,7004280000
7,1254438087,259,1,7004280000
0,1254438087,451,1,7004280000
3,1254438211,838,1,7004280000
3,1254438211,278,1,7004280000
6,1254438087,1315,1,7004280000
1,1254438211,131,1,7004280000
7,1254438087,548,1,7004280000
0,1254438087,835,1,7004280000
2,1254438087,1320,1,7004280000
5,1254438087,857,1,7004280000
3,1254438087,33,1,7004280000
5,1254438087,54,1,7004280000
2,1254438087,31,1,7004280000
6,1254438087,968,1,7004280000
6,1254438087,1087,1,7004280000
6,1254438087,668,1,7004280000
1,1254438211,1045,1,7004280000
3,1254438087,288,1,7004280000
1,1254438087,300,1,7004280000
4,1254438087,1210,6,7004280000
5,1254437839,1222,6,7004280000
7,1254438087,1074,3,7004280000
1,1254438087,941,5,7004280000
7,1254438211,528,6,7004280000
1,1254438087,1333,3,7004280000
1,1254438211,212,6,7004280000
5,1254438087,1045,5,7004280000
6,1254438087,1331,4,7004280000
1,1254438087,996,3,7004280000
1,1254438087,198,4,7004280000
0,1254438211,8,5,7004280000
4,1254438087,492,2,7004280000
6,1254438087,1025,6,7004280000
2,1254438087,1118,4,7004280000
4,1254438211,690,2,7004280000
1,1254438087,827,6,7004280000
0,1254438211,392,2,7004280000
3,1254438087,190,6,7004280000
7,1254438087,422,5,7004280000
1,1254438211,275,2,7004280000
5,1254438211,209,3,7004280000
0,1254438087,802,3,7004280000
5,1254438087,663,6,7004280000
3,1254438087,1182,6,7004280000
0,1254438087,67,5,7004280000
5,1254438087,152,5,7004280000
0,1254438211,793,2,7004280000
6,1254438087,218,6,7004280000
1,1254438087,513,5,7004280000
4,1254438211,731,3,7004280000
0,1254438211,886,4,7004280000
7,1254438087,281,2,7004280000
4,1254438087,965,4,7004280000
7,1254438087,459,3,7004280000
6,1254438211,158,6,7004280000
0,1254438087,1171,5,7004280000
2,1254438211,715,4,7004280000
0,1254438087,1206,5,7004280000
7,1254438087,1013,3,7004280000
0,1254438087,1369,7,7004290042
0,1254438087,468,7,7004290042
6,1254438087,196,7,7004290042
2,1254438211,340,7,7004290042
5,1254438087,243,7,7004290042
6,1254438087,1238,7,7004290042
0,1254438087,245,7,7004290042
4,1254438211,959,7,7004290042
4,1254438087,847,7,7004290042
1,1254438211,1247,7,7004290042
0,1254438087,796,7,7004290042
5,1254438211,204,7,7004290042
6,1254438211,866,7,7004290042
3,1254438211,361,7,7004290042
4,1254438087,129,7,7004290042
1,1254438087,1233,7,7004290042
1,1254438211,1030,7,7004290042
2,1254438211,545,7,7004290042
3,1254438087,759,7,7004290042
3,1254438211,27,7,7004290042
2,1254438087,853,7,7004290042
5,1254438087,915,7,7004290042
2,1254438087,11,7,7004290042
7,1254438211,403,7,7004290042
3,1254438087,270,7,7004290042
0,1254438087,427,7,7004290042
7,1254438087,699,7,7004290042
7,1254438087,900,7,7004290042
1,1254438087,402,7,7004290042
5,1254438211,1320,7,7004290042
6,1254437839,565,7,7004290042
0,1254438211,258,7,7004290042
4,1254438087,782,7,7004290042
2,1254438087,1335,7,7004290042
6,1254438087,811,7,7004290042
0,1254438211,466,7,7004290042
4,1254438087,719,7,7004290042
2,1254438211,169,7,7004290042
4,1254438211,557,7,7004290042
0,1254438087,379,7,7004290042
