detectedActivity,geoHash,minuteOfDay,weekday,journey
7,1242479279,86,7,8121680000
0,1242479279,672,5,8121680000
2,1242479279,305,6,8121680000
4,1242479279,342,5,8121680000
5,1242479279,846,7,8121680000
3,1242479279,645,6,8121680000
3,1242479279,985,6,8121680000
6,1242479279,386,4,8121680000
3,1242479279,665,7,8121680000
7,1242479279,528,2,8121680000
5,1242479403,1053,1,8121680000
6,1242479403,1238,5,8121680000
6,1242479279,1227,3,8121680000
6,1242479403,54,2,8121680000
2,1242479403,386,6,8121680000
7,1242479279,206,6,8121680000
3,1242479403,1077,3,8121680000
6,1242479403,187,4,8121680000
5,1242479279,247,1,8121680000
2,1242479403,44,6,8121680000
1,1242479279,773,0,8121680000
4,1242479279,459,1,8121680000
1,1242479403,191,5,8121680000
4,1242479279,313,6,8121680000
4,1242479279,623,7,8121680000
2,1242479279,878,6,8121680000
0,1242479279,1380,4,8121680000
1,1242479279,1312,1,8121680000
0,1242479279,551,2,8121680000
1,1242479279,581,5,8121680000
1,1242479279,184,4,8121680000
4,1242479279,742,2,8121680000
7,1242479403,1059,5,8121680000
3,1242479279,961,1,8121680000
3,1242479279,991,7,8121680000
1,1242479279,1214,7,8121680000
3,1242479279,847,7,8121680000
0,1242479279,712,6,8121680000
3,1242479403,705,4,8121680000
2,1242479279,1240,5,8121680000
5,1242479403,1057,0,8121680000
6,1242479279,340,5,8121680000
0,1242479279,125,7,8121680000
1,1242479279,1292,7,8121680000
1,1242479403,803,4,8121680000
6,1242479279,919,2,8121680000
3,1242479403,803,6,8121680000
7,1242479279,330,5,8121680000
7,1242479279,471,3,8121680000
7,1242479403,1143,1,8121680000
1,1242479279,929,6,8121680000
6,1242479403,464,3,8121680000
0,1242479403,1240,3,8121680000
3,1242479279,205,2,8121680000
5,1242479279,19,5,8121680000
6,1242479403,1138,0,8121680000
5,1242479279,537,0,8121680000
5,1242479279,21,1,8121680000
5,1242479403,191,0,8121680000
2,1242479279,840,1,8121680000
3,1242479403,1102,4,8121680000
4,1242479403,1245,5,8121680000
3,1242479279,454,6,8121680000
4,1242479279,657,0,8121680000
7,1242479403,1234,6,8121680000
4,1242479403,333,7,8121680000
5,1242479279,51,4,8121680000
6,1242479403,223,7,8121680000
6,1242479279,549,1,8121680000
3,1242479279,1281,3,8121680000
2,1242479403,55,3,8121680000
4,1242479279,1120,4,8121680000
5,1242479279,289,5,8121680000
5,1242479279,96,6,8121680000
3,1242479279,658,4,8121680000
5,1242479279,833,7,8121680000
4,1242479279,372,2,8121680000
7,1242479403,838,7,8121680000
0,1242479279,826,5,8121680000
5,1242479279,851,6,8121680000
0,1242479403,633,1,8121680000
0,1242479403,1011,7,8121680000
1,1242479279,1358,4,8121680000
6,1242479279,89,7,8121680000
7,1242479279,125,2,8121680000
4,1242479279,1275,4,8121680000
5,1242479403,975,4,8121680000
3,1242479403,418,3,8121680000
1,1242479279,105,3,8121680000
4,1242479279,1368,5,8121680000
4,1242479279,1374,7,8121680000
3,1242479403,1001,5,8121680000
0,1242479279,1080,3,8121680000
7,1242479403,850,3,8121680000
4,1242479279,603,4,8121680000
4,1242479279,1235,0,8121680000
4,1242479403,1310,5,8121680000
4,1242479403,1358,6,8121680000
1,1242479403,1074,3,8121680000
4,1242479403,992,7,8121680000
5,1242479403,996,2,8121680000
3,1242479279,1324,2,8121680000
7,1242479403,73,3,8121680000
6,1242479279,1048,7,8121680000
0,1242479279,592,4,8121680000
4,1242479279,1203,0,8121680000
4,1242479279,319,7,8121680000
3,1242479403,1359,0,8121680000
5,1242479279,164,4,8121680000
6,1242479279,809,7,8121680000
6,1242479403,667,1,8121680000
6,1242479279,1288,6,8121680000
6,1242479279,641,2,8121680000
3,1242479403,769,6,8121680000
0,1242479403,165,0,8121680000
7,1242479403,175,6,8121680000
4,1242479403,467,6,8121680000
1,1242479403,56,4,8121680000
7,1242479279,27,4,8121680000
3,1242479279,364,1,8121680000
3,1242479279,28,5,8121680000
0,1242479403,320,4,8121680000
4,1242479279,473,7,8121680000
5,1242479403,303,4,8121680000
6,1242479279,1095,1,8121680000
2,1242479279,1352,0,8121680000
1,1242479279,586,3,8121680000
3,1242479279,179,3,8121680000
2,1242479279,669,4,8121680000
4,1242479279,1375,1,8121680000
4,1242479279,1232,6,8121680000
6,1242479403,806,0,8121680000
5,1242479403,1360,3,8121680000
1,1242479279,231,7,8121680000
3,1242479279,434,0,8121680000
4,1242479279,851,2,8121680000
7,1242479279,1029,0,8121680000
0,1242479403,1007,2,8121680000
7,1242479403,34,1,8121680000
6,1242479279,1327,2,8121680000
5,1242479279,183,0,8121680000
6,1242479403,1163,1,8121680000
4,1242479279,473,2,8121680000
0,1242479279,794,1,8121680000
5,1242479403,54,3,8121680000
5,1242479403,2,0,8121680000
5,1242479279,1285,1,8121680000
6,1242479403,848,6,8121680000
6,1242479279,510,2,8121680000
5,1242479403,739,4,8121680000
4,1242479279,1275,2,8121680000
4,1242479403,978,7,8121680000
0,1242479403,969,1,8121680000
4,1242479279,516,4,8121680000
1,1242479403,1304,0,8121680000
0,1242479279,148,2,8121680000
1,1242479403,253,2,8121680000
0,1242479279,43,0,8121680000
1,1242479403,1032,7,8121680000
6,1242479279,102,0,8121680000
5,1242479279,255,0,8121680000
0,1242479279,972,5,8121680000
2,1242479279,1124,2,8121680000
4,1242479403,569,0,8121680000
1,1242479403,1270,6,8121680000
4,1242479403,1335,1,8121680000
5,1242479279,1122,1,8121680000
4,1242479279,979,4,8121680000
7,1242479279,15,2,8121680000
3,1242479279,1139,0,8121680000
1,1242479403,467,5,8121680000
3,1242479279,207,7,8121680000
5,1242479279,1024,3,8121680000
4,1242479403,36,7,8121680000
5,1242479403,482,4,8121680000
4,1242479279,10,5,8121680000
6,1242479403,499,6,8121680000
0,1242479279,1162,7,8121680000
5,1242479403,856,2,8121680000
4,1242479279,6,5,8121680000
2,1242479403,167,1,8121680000
6,1242479279,565,4,8121680000
1,1242479279,275,1,8121680000
1,1242479279,24,1,8121680000
0,1242479279,994,6,8121680000
7,1242479403,221,4,8121680000
3,1242479279,440,6,8121680000
0,1242479279,1095,5,8121680000
3,1242479279,1064,7,8121680000
5,1242479403,843,5,8121680000
0,1242479279,749,4,8121680000
1,1242479279,556,0,8121680000
6,1242479279,1058,7,8121680000
5,1242479279,524,2,8121680000
3,1242479279,1325,0,8121680000
4,1242479403,1270,3,8121680000
0,1242479279,381,7,8121680000
5,1242479279,246,6,8121680000
4,1242479279,1071,1,8121680000
5,1242479279,155,5,8121680000
