detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1243184839,1090,6,8107980000
7,1243184839,1110,6,8107980000
7,1243184839,1116,6,8107980000
3,1242213299,1280,6,8000081079
7,1242213299,1286,6,8000081079
7,1242213299,1286,6,8000081079
3,1243184839,790,0,8107981703
3,1243184839,796,0,8107981703
8,1243184839,800,0,8107981703
8,1243184839,800,0,8107981703
3,1242436375,1092,0,8170381079
7,1242436375,1099,0,8170381079
7,1242436375,1101,0,8170381079
7,1242436375,1101,0,8170381079
3,1243184839,443,1,8107981156
7,1243184839,445,1,8107981156
3,1243184839,450,1,8107981156
8,1242479527,920,1,8115681079
7,1242479527,930,1,8115681079
3,1242478163,930,1,8115681079
3,1243184839,490,2,8107981156
3,1243184839,495,2,8107981156
7,1243184839,497,2,8107981156
7,1243184839,497,2,8107981156
7,1242479527,1030,2,8115681079
7,1242478163,1032,2,8115681079
7,1242479527,1038,2,8115681079
7,1243184839,434,3,8107981156
7,1243184839,438,3,8107981156
3,1243184839,442,3,8107981156
3,1242478163,850,3,8115681079
7,1242478163,854,3,8115681079
3,1242479527,860,3,8115681079
3,1243184839,495,4,8107981156
8,1243184839,498,4,8107981156
3,1243184839,502,4,8107981156
3,1243184839,502,4,8107981156
3,1243184839,504,4,8107981156
3,1243184839,504,4,8107981156
8,1242478163,1030,4,8115681079
3,1242478163,1034,4,8115681079
3,1242478163,1034,4,8115681079
3,1242479527,1035,4,8115681079
7,1243184839,433,5,8107981156
7,1243184839,435,5,8107981156
3,1243184839,437,5,8107981156
3,1243184839,437,5,8107981156
3,1242478163,1095,5,8115681079
3,1242478163,1097,5,8115681079
7,1242478163,1100,5,8115681079
7,1242478163,1100,5,8115681079
7,1242479527,1100,5,8115681079
3,1243184839,795,0,8107980140
3,1243184839,797,0,8107980140
7,1243184839,800,0,8107980140
3,1243184839,800,0,8107980140
7,1242212679,1095,0,8014081079
7,1242212679,1097,0,8014081079
3,1242212679,1100,0,8014081079
3,1243184839,420,1,8107981156
7,1243184839,442,1,8107981156
7,1243184839,442,1,8107981156
3,1243184839,450,1,8107981156
3,1243184839,450,1,8107981156
3,1242478163,920,1,8115681079
7,1242479527,922,1,8115681079
7,1242479527,925,1,8115681079
3,1242478163,933,1,8115681079
3,1243184839,470,2,8107981156
7,1243184839,490,2,8107981156
7,1243184839,494,2,8107981156
7,1243184839,495,2,8107981156
3,1243184839,498,2,8107981156
7,1242479527,1021,2,8115681079
7,1242478163,1021,2,8115681079
3,1242479527,1026,2,8115681079
3,1242478163,1026,2,8115681079
3,1243184839,421,3,8107981156
3,1243184839,422,3,8107981156
3,1243184839,430,3,8107981156
3,1243184839,432,3,8107981156
7,1242479527,860,3,8115681079
7,1242478163,860,3,8115681079
3,1242479527,865,3,8115681079
3,1242479527,865,3,8115681079
3,1243184839,483,4,8107981156
3,1243184839,489,4,8107981156
7,1243184839,492,4,8107981156
8,1243184839,494,4,8107981156
3,1242479527,1055,4,8115681079
3,1242479527,1059,4,8115681079
7,1242478163,1076,4,8115681079
7,1242479527,1076,4,8115681079
7,1243184839,442,5,8107981156
7,1243184839,445,5,8107981156
7,1243184839,445,5,8107981156
3,1243184839,450,5,8107981156
3,1243184839,450,5,8107981156
3,1242478163,870,5,8115681079
3,1242479527,875,5,8115681079
3,1242478163,875,5,8115681079
3,1242479279,879,5,8115681079
3,1242478163,879,5,8115681079
