detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1242478163,946,1,8115681079
3,1243184839,551,4,8107981156
3,1243184839,523,2,8107981156
3,1243184839,509,2,8107981156
3,1242478163,949,3,8115681079
8,1243184839,555,1,8107981156
7,1242479527,917,3,8115681079
8,1243184839,567,3,8107981156
3,1242478163,876,1,8115681079
3,1243184839,553,5,8107981156
3,1242478163,902,3,8115681079
3,1243187567,670,0,8107981156
3,1243184839,514,2,8107981156
8,1243163635,521,3,8107981156
3,1243184839,556,4,8107981156
7,1242479527,906,2,8115681079
3,1242479527,857,2,8115681079
8,1243184839,535,5,8107981156
7,1242479527,852,4,8115681079
3,1243187567,548,3,8107981156
3,1242478163,895,1,8115681079
3,1242479527,934,3,8115681079
8,1243184839,549,2,8107981156
8,1243184839,565,1,8107981156
8,1243184839,554,1,8107981156
8,1243184839,580,3,8107981156
3,1242213299,1213,6,8000081079
3,1243184839,573,4,8107981156
3,1243184839,565,5,8107981156
3,1242479527,887,1,8115681079
3,1243184839,532,2,8107981156
8,1243184839,566,2,8107981156
3,1243184839,540,1,8107981156
3,1243184839,505,5,8107981156
3,1242477915,1247,0,8115681079
3,1242479527,865,1,8115681079
7,1242477915,946,4,8115681079
3,1242479527,867,4,8115681079
3,1242478163,1222,0,8115681079
3,1242478163,893,3,8115681079
3,1242478163,877,3,8115681079
7,1242479527,871,1,8115681079
3,1242479527,944,3,8115681079
7,1242479527,860,3,8115681079
3,1243184839,528,3,8107981156
3,1243184839,494,1,8107981156
3,1243184839,520,4,8107981156
7,1242478163,896,1,8115681079
3,1243184839,559,4,8107981156
3,1243184839,631,0,8107981156
7,1242477915,922,5,8115681079
3,1242478163,897,5,8115681079
7,1242478163,894,5,8115681079
3,1243184839,549,1,8107981156
8,1243184839,498,5,8107981156
8,1243184839,522,5,8107981156
8,1243184839,585,1,8107981156
3,1242477915,939,5,8115681079
3,1243184839,578,5,8107981156
7,1242478163,934,2,8115681079
7,1242479527,919,3,8115681079
3,1242479527,912,5,8115681079
3,1242479527,904,1,8115681079
3,1243184839,574,1,8107981156
3,1243184963,497,1,8107981156
3,1242479527,863,4,8115681079
3,1243184839,549,4,8107981156
3,1243184839,558,2,8107981156
3,1243184839,583,5,8107981156
7,1242478163,928,2,8115681079
3,1243187567,571,3,8107981156
7,1242479527,937,4,8115681079
3,1242479527,1162,0,8115681079
3,1242479527,886,3,8115681079
3,1242478163,932,3,8115681079
7,1242479527,879,4,8115681079
3,1243184839,589,5,8107981156
3,1242479527,940,3,8115681079
7,1242477915,903,4,8115681079
3,1242477915,885,3,8115681079
7,1242479527,872,2,8115681079
7,1242478163,909,1,8115681079
3,1243184839,543,4,8107981156
3,1242479527,933,5,8115681079
3,1242479527,945,4,8115681079
3,1242478163,939,4,8115681079
3,1243184839,587,5,8107981156
3,1243184839,511,5,8107981156
3,1243184839,508,4,8107981156
7,1242478163,910,2,8115681079
3,1243184839,540,4,8107981156
3,1243184839,490,1,8107981156
3,1242479279,862,1,8115681079
3,1243184839,566,3,8107981156
7,1242479527,856,1,8115681079
7,1242478163,882,4,8115681079
3,1243184839,591,6,8107980000
3,1242479279,853,1,8115681079
3,1243184839,537,2,8107981156
3,1242479527,887,4,8115681079
3,1242478163,894,1,8115681079
3,1242479527,897,2,8115681079
8,1243187567,523,5,8107981156
3,1243184839,522,1,8107981156
3,1242477915,1234,0,8115681079
3,1242479279,899,1,8115681079
3,1242478163,877,4,8115681079
