detectedActivity,geoHash,minuteOfDay,weekday,journey
6,1243184839,438,4,8107981156
5,1243184839,451,3,8107981156
5,1243187567,511,1,8107981156
0,1243184839,529,2,8107981156
2,1243187567,491,1,8107981156
7,1243184839,469,1,8107981156
3,1243184839,457,3,8107981156
1,1243184839,491,3,8107981156
1,1243184839,481,1,8107981156
7,1243184839,526,2,8107981156
5,1243184839,516,2,8107981156
2,1243184839,495,1,8107981156
7,1243184839,462,4,8107981156
1,1243184839,470,2,8107981156
5,1243184839,504,3,8107981156
7,1243184839,521,2,8107981156
6,1243184839,429,2,8107981156
5,1243184839,422,1,8107981156
2,1243184839,425,1,8107981156
0,1243184839,477,2,8107981156
7,1243184839,496,5,8107981156
2,1243184839,533,5,8107981156
7,1243184839,462,1,8107981156
1,1243184839,507,4,8107981156
1,1243184839,472,4,8107981156
6,1243184839,492,1,8107981156
0,1243184839,505,3,8107981156
4,1243184839,514,2,8107981156
5,1243184839,425,2,8107981156
2,1243184839,495,4,8107981156
5,1243184839,467,4,8107981156
0,1243184839,536,4,8107981156
4,1243184839,466,2,8107981156
3,1243184839,454,1,8107981156
3,1243184839,463,5,8107981156
1,1243184839,488,1,8107981156
3,1243184839,451,1,8107981156
5,1243184839,432,5,8107981156
4,1243184839,486,3,8107981156
6,1243184839,530,4,8107981156
3,1242479527,900,2,8115681079
6,1242479279,930,3,8115681079
5,1242478163,935,5,8115681079
0,1242477915,992,2,8115681079
2,1242478163,1003,3,8115681079
2,1242477915,978,4,8115681079
7,1242477915,912,2,8115681079
1,1242479527,952,4,8115681079
6,1242479527,943,2,8115681079
3,1242479527,1005,1,8115681079
4,1242478163,1005,1,8115681079
2,1242479527,953,5,8115681079
7,1242479527,944,3,8115681079
1,1242479279,965,5,8115681079
7,1242479527,1014,1,8115681079
2,1242479527,927,5,8115681079
0,1242479527,1005,1,8115681079
0,1242479279,964,3,8115681079
6,1242478163,982,2,8115681079
3,1242479527,913,2,8115681079
3,1242478163,1008,1,8115681079
4,1242478163,930,1,8115681079
2,1242478163,983,5,8115681079
5,1242478163,991,2,8115681079
5,1242479527,903,3,8115681079
0,1242479279,963,3,8115681079
7,1242479527,1012,5,8115681079
5,1242478163,981,1,8115681079
0,1242479527,944,5,8115681079
1,1242478163,908,2,8115681079
7,1242478163,938,1,8115681079
0,1242478163,917,2,8115681079
0,1242478163,1010,2,8115681079
5,1242478163,994,2,8115681079
2,1242478163,919,1,8115681079
2,1242479279,1014,4,8115681079
7,1242478163,994,4,8115681079
5,1242478163,960,5,8115681079
7,1242479279,986,2,8115681079
3,1242479527,1003,1,8115681079
2,1243184839,713,6,8107981703
0,1243184839,753,0,8107981703
3,1243184839,750,6,8107981703
6,1243184839,678,0,8107981703
1,1243184839,770,6,8107981703
2,1243163635,731,6,8107981703
3,1243184839,683,0,8107981703
6,1243163635,717,0,8107981703
7,1243184839,696,6,8107981703
4,1243184839,698,6,8107981703
6,1243184839,673,6,8107981703
6,1243184839,726,6,8107981703
5,1243184839,743,0,8107981703
7,1243184839,767,0,8107981703
5,1243184839,678,6,8107981703
2,1243163635,699,0,8107981703
0,1243184839,778,0,8107981703
4,1243184839,681,6,8107981703
6,1243184839,666,6,8107981703
2,1243184839,674,6,8107981703
1,1243184839,697,0,8107981703
0,1243184839,707,0,8107981703
1,1243184839,776,6,8107981703
4,1243184839,689,6,8107981703
6,1243184839,735,0,8107981703
3,1243184839,700,6,8107981703
5,1243184839,755,0,8107981703
3,1243184839,740,6,8107981703
1,1243184839,666,0,8107981703
4,1243184839,720,0,8107981703
6,1243184963,704,0,8107981703
1,1243184839,736,6,8107981703
0,1243184839,725,0,8107981703
5,1243184839,694,0,8107981703
2,1243184839,747,0,8107981703
1,1243184963,663,6,8107981703
3,1243184839,748,0,8107981703
0,1243184839,717,6,8107981703
0,1243184839,752,0,8107981703
6,1243184839,721,0,8107981703
6,1242436375,996,0,8170381079
6,1242436375,984,0,8170381079
4,1242436375,1045,6,8170381079
7,1242436375,1001,6,8170381079
6,1242436375,1061,0,8170381079
2,1242436375,1075,0,8170381079
1,1242436375,1071,0,8170381079
6,1242436375,1056,6,8170381079
6,1242436375,976,0,8170381079
0,1242436375,1028,6,8170381079
3,1242436375,1064,6,8170381079
7,1242436375,1024,0,8170381079
1,1242436375,1077,6,8170381079
0,1242436375,975,0,8170381079
5,1242436375,1030,6,8170381079
0,1242436375,961,0,8170381079
6,1242436375,964,0,8170381079
5,1242436003,990,6,8170381079
1,1242436375,1055,0,8170381079
4,1242436375,1045,6,8170381079
0,1242436375,1027,0,8170381079
1,1242436375,962,6,8170381079
3,1242436003,1016,6,8170381079
1,1242436375,1071,6,8170381079
2,1242436375,1061,6,8170381079
5,1242436375,997,0,8170381079
1,1242436375,965,6,8170381079
3,1242436375,1037,0,8170381079
1,1242436375,1041,0,8170381079
1,1242436375,963,0,8170381079
1,1242436375,1065,6,8170381079
2,1242436375,970,6,8170381079
7,1242436375,983,0,8170381079
0,1242436375,981,0,8170381079
1,1242436375,1026,0,8170381079
6,1242436003,982,6,8170381079
6,1242436375,1038,0,8170381079
1,1242436375,1017,0,8170381079
5,1242436375,1020,6,8170381079
2,1242436375,1003,0,8170381079
