detectedActivity,geoHash,minuteOfDay,weekday,journey
--saturday--
3,1242202139,851,6,8033880159
3,1242207471,854,6,8033880159
3,1242202139,854,6,8033880159
7,1242202139,862,6,8033880159
7,1242202139,865,6,8033880159
3,1242207471,869,6,8033880159
3,1242211811,1109,6,8015980338
7,1242211811,1118,6,8015980338
7,1242211811,1118,6,8015980338
--sunday--
--monday--
--tuesday--
3,1242202139,730,2,8033880049
3,1242202139,735,2,8033880049
7,1242202139,783,2,8033880049
7,1242202139,783,2,8033880049
3,1242202139,790,2,8033880049
7,1242188995,1150,2,8004980338
7,1242199659,1150,2,8004980338
7,1242199659,1150,2,8004980338
7,1242188995,1170,2,8004980338
--wednesday--
3,1242202139,750,3,8033880049
7,1242202139,755,3,8033880049
7,1242202139,758,3,8033880049
3,1242188995,1090,3,8004980338
7,1242189367,1112,3,8004980338
7,1242199659,1114,3,8004980338
7,1242188995,1114,3,8004980338
--thursday--
3,1242202139,694,4,8033880049
3,1242202139,710,4,8033880049
7,1242202139,730,4,8033880049
3,1242202139,721,4,8033880049
3,1242199659,1190,4,8004980338
7,1242188995,1190,4,8004980338
3,1242199659,1191,4,8004980338
3,1242188995,1191,4,8004980338
3,1242188995,1196,4,8004980338
3,1242199659,1196,4,8004980338
3,1242199659,1198,4,8004980338
--friday--
3,1242202139,718,5,8033880049
7,1242202139,700,5,8033880049
3,1242202139,705,5,8033880049
3,1242202139,705,5,8033880049
3,1242202139,707,5,8033880049
3,1242188871,1307,5,8004980338
3,1242188871,1307,5,8004980338
7,1242199535,1330,5,8004980338
3,1242199535,1334,5,8004980338
3,1242188871,1337,5,8004980338
--saturday--
3,1242202139,754,6,8033880159
7,1242202139,774,6,8033880159
7,1242207471,779,6,8033880159
3,1242211811,1104,6,8015980338
7,1242211811,1132,6,8015980338
3,1242211811,1134,6,8015980338
3,1242211811,1134,6,8015980338
--sunday--
--monday--
--tuesday--
3,1242202139,782,2,8033880049
7,1242207471,794,2,8033880049
7,1242202139,795,2,8033880049
3,1242200031,1095,2,8004980338
7,1242188995,1102,2,8004980338
3,1242188995,1115,2,8004980338
3,1242199659,1115,2,8004980338
--wednesday--
3,1242202139,695,3,8033880049
7,1242207471,711,3,8033880049
7,1242202139,715,3,8033880049
3,1242202139,715,3,8033880049
3,1242188995,1135,3,8004980338
3,1242188995,1135,3,8004980338
7,1242199659,1150,3,8004980338
7,1242199535,1158,3,8004980338
7,1242200031,1162,3,8004980338
7,1242199659,1166,3,8004980338
--thursday--
7,1242207471,792,4,8033880049
3,1242202139,798,4,8033880049
3,1242202139,799,4,8033880049
3,1242200031,1159,4,8004980338
3,1242199659,1159,4,8004980338
7,1242199535,1174,4,8004980338
7,1242188995,1174,4,8004980338
7,1242188995,1174,4,8004980338
7,1242199659,1174,4,8004980338
7,1242188995,1174,4,8004980338
7,1242199659,1174,4,8004980338
--friday--
3,1242199659,694,5,8004980338
7,1242199659,756,5,8004980338
3,1242188995,758,5,8004980338
3,1242199659,758,5,8004980338
3,1242199659,758,5,8004980338
--end training data--
