detectedActivity,geoHash,minuteOfDay,weekday,journey
7,1242202139,780,6,8033880159
7,1242188995,1140,3,8004980338
3,1242202139,720,2,8033880049
7,1242188995,1140,2,8004980338
3,1242202139,720,4,8033880049
7,1242188995,1140,4,8004980338
3,1242188995,1140,3,8004980338
7,1242202139,720,2,8033880049
3,1242188995,1140,2,8004980338
3,1242188995,1140,5,8004980338
7,1242202139,720,3,8033880049
7,1242202139,720,4,8033880049
3,1242188995,1140,4,8004980338
7,1242211811,1200,6,8015980338
3,1242202139,720,5,8033880049
7,1242188995,1140,5,8004980338
3,1242202139,720,3,8033880049
3,1242211811,1200,6,8015980338
7,1242202139,720,5,8033880049
3,1242202139,780,6,8033880159
