detectedActivity,geoHash,minuteOfDay,weekday,journey
6,1242202139,674,4,8033880049
0,1242202139,738,2,8033880049
1,1242202139,774,3,8033880049
0,1242202139,755,1,8033880049
2,1242202139,694,3,8033880049
1,1242202139,730,4,8033880049
7,1242191475,714,1,8033880049
2,1242202139,749,2,8033880049
1,1242202139,773,3,8033880049
5,1242202139,759,3,8033880049
2,1242202139,702,4,8033880049
4,1242202139,692,4,8033880049
4,1242207471,740,3,8033880049
1,1242202139,710,1,8033880049
2,1242202139,719,5,8033880049
4,1242202139,776,4,8033880049
3,1242202139,763,1,8033880049
2,1242202139,712,1,8033880049
7,1242207471,676,1,8033880049
3,1242202139,667,5,8033880049
4,1242191475,669,5,8033880049
0,1242202139,777,2,8033880049
3,1242202139,664,4,8033880049
6,1242202139,704,4,8033880049
0,1242196807,718,1,8033880049
0,1242202139,752,5,8033880049
0,1242202139,734,4,8033880049
5,1242202139,736,3,8033880049
3,1242202139,715,3,8033880049
2,1242202139,681,1,8033880049
5,1242202139,744,2,8033880049
1,1242202139,768,5,8033880049
3,1242202139,726,5,8033880049
2,1242202139,729,3,8033880049
6,1242202139,663,2,8033880049
2,1242207471,698,3,8033880049
1,1242202139,738,3,8033880049
7,1242207471,766,2,8033880049
1,1242202139,773,1,8033880049
6,1242202139,719,1,8033880049
1,1242188995,1186,2,8004980338
6,1242188995,1138,3,8004980338
6,1242199659,1112,3,8004980338
6,1242188995,1198,1,8004980338
7,1242188995,1198,5,8004980338
4,1242199659,1191,4,8004980338
3,1242188871,1098,3,8004980338
7,1242199535,1082,1,8004980338
0,1242199659,1133,2,8004980338
7,1242199659,1085,5,8004980338
0,1242188995,1169,4,8004980338
6,1242199535,1161,5,8004980338
5,1242199659,1148,3,8004980338
6,1242188995,1188,4,8004980338
2,1242199659,1176,2,8004980338
0,1242199535,1140,1,8004980338
5,1242199659,1182,4,8004980338
1,1242199659,1142,1,8004980338
4,1242188995,1174,2,8004980338
3,1242199659,1189,5,8004980338
5,1242199659,1166,1,8004980338
7,1242188995,1093,2,8004980338
6,1242199659,1196,5,8004980338
4,1242199659,1112,2,8004980338
1,1242199535,1167,1,8004980338
6,1242199659,1101,1,8004980338
3,1242188995,1082,5,8004980338
5,1242199659,1108,2,8004980338
7,1242188995,1094,3,8004980338
1,1242188995,1181,5,8004980338
2,1242188871,1123,3,8004980338
4,1242188995,1083,4,8004980338
3,1242199659,1080,4,8004980338
1,1242188995,1189,3,8004980338
4,1242188995,1193,4,8004980338
2,1242188995,1098,3,8004980338
5,1242188995,1116,1,8004980338
2,1242188995,1153,2,8004980338
3,1242199659,1101,3,8004980338
4,1242199659,1139,3,8004980338
4,1242202139,868,6,8033880159
4,1242202139,781,6,8033880159
2,1242191475,799,6,8033880159
3,1242207471,783,6,8033880159
5,1242202139,871,6,8033880159
5,1242202139,790,6,8033880159
6,1242202139,805,6,8033880159
1,1242207471,837,6,8033880159
3,1242202139,856,6,8033880159
3,1242202139,786,6,8033880159
4,1242202139,791,6,8033880159
0,1242202139,877,6,8033880159
3,1242202139,785,6,8033880159
1,1242202139,837,6,8033880159
7,1242202139,869,6,8033880159
2,1242207471,799,6,8033880159
3,1242202139,782,6,8033880159
6,1242202139,851,6,8033880159
0,1242202139,808,6,8033880159
4,1242202139,877,6,8033880159
4,1242202139,892,6,8033880159
4,1242202139,898,6,8033880159
1,1242202139,841,6,8033880159
2,1242202139,879,6,8033880159
5,1242207471,844,6,8033880159
5,1242191475,858,6,8033880159
5,1242202139,825,6,8033880159
6,1242202139,889,6,8033880159
5,1242202139,847,6,8033880159
2,1242202139,890,6,8033880159
1,1242207471,842,6,8033880159
4,1242196807,844,6,8033880159
0,1242202139,801,6,8033880159
7,1242202139,879,6,8033880159
3,1242207471,839,6,8033880159
0,1242202139,783,6,8033880159
4,1242202139,852,6,8033880159
0,1242202139,843,6,8033880159
4,1242202139,852,6,8033880159
3,1242191475,873,6,8033880159
1,1242211811,1243,6,8015980338
4,1242211811,1168,6,8015980338
7,1242211811,1150,6,8015980338
7,1242211811,1209,6,8015980338
6,1242211811,1199,6,8015980338
5,1242211811,1143,6,8015980338
3,1242211811,1140,6,8015980338
0,1242211563,1237,6,8015980338
0,1242212183,1203,6,8015980338
2,1242211563,1226,6,8015980338
6,1242212183,1257,6,8015980338
1,1242211811,1190,6,8015980338
0,1242211811,1158,6,8015980338
0,1242211811,1215,6,8015980338
4,1242212183,1255,6,8015980338
6,1242211811,1201,6,8015980338
2,1242211811,1192,6,8015980338
1,1242211935,1235,6,8015980338
4,1242211811,1166,6,8015980338
2,1242211811,1232,6,8015980338
5,1242212183,1174,6,8015980338
7,1242211811,1243,6,8015980338
0,1242211811,1157,6,8015980338
2,1242212183,1226,6,8015980338
2,1242212183,1229,6,8015980338
1,1242212183,1155,6,8015980338
7,1242211811,1236,6,8015980338
1,1242211811,1220,6,8015980338
7,1242211811,1158,6,8015980338
3,1242211811,1243,6,8015980338
3,1242211811,1187,6,8015980338
6,1242211811,1209,6,8015980338
6,1242211811,1164,6,8015980338
2,1242211811,1259,6,8015980338
2,1242212183,1152,6,8015980338
1,1242211811,1178,6,8015980338
4,1242211935,1241,6,8015980338
6,1242211811,1140,6,8015980338
3,1242211811,1224,6,8015980338
7,1242211563,1194,6,8015980338
