detectedActivity,geoHash,minuteOfDay,weekday,journey
--saturday--
--sunday--
--monday--
3,1242479403,485,1,8121680000
7,1242479279,534,1,8121680000
7,1242479279,534,1,8121680000
3,1242479403,534,1,8121680000
3,1242479279,536,1,8121680000
--tuesday--
3,1242207347,430,2,8121680000
7,1242212679,430,2,8121680000
7,1242212679,435,2,8121680000
8,1242212679,438,2,8121680000
--wednesday--
7,1242212679,490,3,8121680000
7,1242212679,494,3,8121680000
7,1242212679,974,3,8000081216
--thursday--
7,1242212679,496,4,8000081216
7,1242212679,1036,4,8121680000
8,1242212679,1036,4,8121680000
8,1242212679,1036,4,8121680000
--friday--
7,1242212679,616,5,8121680000
7,1242212679,618,5,8121680000
7,1242213299,849,5,8000081216
7,1242479279,1089,5,8121680140
7,1242479403,1090,5,8121680140
7,1242479403,1099,5,8121680140
7,1242212679,1381,5,8014081216
7,1242212679,1381,5,8014081216
--saturday--
3,1242479279,790,6,8121690042
7,1242479403,835,6,8121690042
7,1242479279,838,6,8121690042
--sunday--
3,1254862663,1198,0,9004281216
7,1254873327,1258,0,9004281216
8,1254873327,1259,0,9004281216
--monday--
7,1242479403,550,1,8121680000
7,1242479279,555,1,8121680000
7,1242213299,975,1,8000081216
7,1242213299,982,1,8000081216
3,1242213299,1010,1,8000081216
7,1242213299,1015,1,8000081216
7,1242479279,1152,1,8121680140
8,1242479279,1155,1,8121680140
7,1242212679,1320,1,8014081216
3,1242212679,1330,1,8014081216
3,1242212679,1330,1,8014081216
--tuesday--
3,1242479403,502,2,8121680000
7,1242479279,506,2,8121680000
7,1242213299,1092,2,8000081216
3,1242212679,863,2,8000081216
3,1242212679,895,2,8000081216
7,1242212679,899,2,8000081216
7,1242212679,1199,2,8121680140
7,1242212679,1205,2,8121680140
7,1242212679,1381,2,8014081216
7,1242212679,1381,2,8014081216
--wednesday--
7,1242479279,552,3,8121680000
7,1242479279,552,3,8121680000
7,1242213299,912,3,8000081216
7,1242213175,912,3,8000081216
--thursday--
3,1242479403,492,4,8121680000
3,1242479403,495,4,8121680000
7,1242213299,1021,4,8000081216
7,1242213299,1032,4,8000081216
7,1242479279,1152,4,8121680140
7,1242212679,1235,4,8014081216
7,1242212679,1239,4,8014081216
3,1242212679,1244,4,8014081216
--friday--
3,1242479403,504,5,8121680000
3,1242479403,506,5,8121680000
3,1242213299,869,5,8000081216
7,1242479279,1169,5,8121680140
7,1242479279,1172,5,8121680140
7,1242212679,1381,5,8014081216
7,1242212679,1381,5,8014081216
7,1242212679,1381,5,8014081216
--end training data--







