detectedActivity,geoHash,minuteOfDay,weekday,journey
7,1242481883,1376,4,8180280014
7,1242481759,600,4,8180280014
7,1242483495,1192,1,8180280014
2,1242481883,329,2,8180280014
1,1242481883,122,1,8180280014
6,1242481883,884,6,8180280014
3,1242481883,876,0,8180280014
2,1242481883,264,2,8180280014
2,1242482131,495,3,8180280014
6,1242483247,555,4,8180280014
7,1242481883,744,5,8180280014
5,1242481883,599,4,8180280014
0,1242481883,493,4,8180280014
2,1242481883,484,0,8180280014
0,1242483247,1200,4,8180280014
4,1242480519,1362,3,8180280014
6,1242483495,727,0,8180280014
4,1242481883,1196,3,8180280014
1,1242481883,526,1,8180280014
2,1242481759,310,0,8180280014
1,1242481883,646,0,8180280014
2,1242483247,24,6,8180280014
1,1242481883,242,6,8180280014
0,1242483247,899,5,8180280014
0,1242483247,178,1,8180280014
0,1242483247,1345,2,8180280014
4,1242481883,1266,4,8180280014
1,1242481883,795,4,8180280014
3,1242481759,953,3,8180280014
3,1242481759,1280,6,8180280014
2,1242483247,737,0,8180280014
0,1242481883,1002,1,8180280014
2,1242481883,518,1,8180280014
0,1242481883,11,6,8180280014
2,1242481883,523,3,8180280014
6,1242481759,956,3,8180280014
3,1242481759,1100,3,8180280014
4,1242483247,579,2,8180280014
7,1242481883,693,0,8180280014
7,1242483247,763,6,8180280014
5,1242213175,175,0,8000081802
0,1242213175,890,6,8000081802
1,1242213051,44,5,8000081802
1,1242213299,401,5,8000081802
0,1242213175,793,4,8000081802
7,1242214415,228,2,8000081802
1,1242213299,997,6,8000081802
1,1242213051,862,1,8000081802
6,1242213299,493,3,8000081802
2,1242213175,1127,6,8000081802
2,1242213299,953,6,8000081802
2,1242213051,322,6,8000081802
3,1242213299,559,0,8000081802
6,1242213299,312,5,8000081802
6,1242213299,1209,1,8000081802
1,1242213299,817,5,8000081802
3,1242213175,600,6,8000081802
7,1242214663,128,4,8000081802
6,1242213299,578,1,8000081802
6,1242213299,577,5,8000081802
3,1242214663,508,3,8000081802
5,1242213299,1329,2,8000081802
5,1242213299,1121,4,8000081802
4,1242213299,655,1,8000081802
2,1242213299,710,2,8000081802
3,1242214415,258,6,8000081802
1,1242213175,950,1,8000081802
4,1242214663,458,2,8000081802
6,1242213299,864,1,8000081802
2,1242213051,603,4,8000081802
6,1242214663,654,3,8000081802
6,1242213299,1271,4,8000081802
5,1242214663,201,5,8000081802
6,1242213299,22,2,8000081802
6,1242213051,969,4,8000081802
5,1242213175,899,1,8000081802
1,1242214663,436,1,8000081802
6,1242213299,725,6,8000081802
1,1242213299,181,1,8000081802
4,1242213299,1084,4,8000081802
7,1242211811,1349,6,8015981802
6,1242211687,1020,2,8015981802
6,1242211811,1132,6,8015981802
3,1242211687,458,6,8015981802
7,1242212183,1229,5,8015981802
0,1242212183,191,0,8015981802
0,1242211811,87,2,8015981802
0,1242211563,1349,2,8015981802
1,1242211563,120,6,8015981802
0,1242211935,242,3,8015981802
0,1242211935,35,5,8015981802
4,1242211563,265,2,8015981802
5,1242211563,25,2,8015981802
0,1242211811,397,2,8015981802
6,1242212307,510,2,8015981802
2,1242211811,265,1,8015981802
1,1242211935,39,5,8015981802
1,1242212183,600,3,8015981802
4,1242212183,1281,4,8015981802
5,1242212183,613,1,8015981802
7,1242211935,905,4,8015981802
3,1242212183,307,2,8015981802
6,1242211935,950,0,8015981802
7,1242211563,1041,2,8015981802
3,1242211935,689,1,8015981802
6,1242211935,612,1,8015981802
5,1242211811,1318,1,8015981802
3,1242211687,470,0,8015981802
5,1242211811,1216,4,8015981802
6,1242211439,772,6,8015981802
2,1242212183,325,4,8015981802
0,1242212183,836,2,8015981802
0,1242212307,481,5,8015981802
5,1242212183,566,6,8015981802
7,1242211563,385,5,8015981802
3,1242211811,138,6,8015981802
6,1242212183,320,0,8015981802
7,1242211563,281,1,8015981802
6,1242211563,1296,5,8015981802
1,1242212183,386,5,8015981802
4,1242207471,387,3,8033881802
5,1242202139,117,2,8033881802
5,1242196807,514,5,8033881802
7,1242202139,460,4,8033881802
6,1242207471,1116,0,8033881802
2,1242207471,1250,5,8033881802
4,1242202139,12,0,8033881802
0,1242191475,979,3,8033881802
7,1242207471,1278,0,8033881802
0,1242207471,942,0,8033881802
4,1242202015,78,2,8033881802
7,1242202139,1201,0,8033881802
6,1242202139,1238,2,8033881802
5,1242207471,103,3,8033881802
1,1242207471,969,2,8033881802
0,1242202139,510,4,8033881802
7,1242202139,660,3,8033881802
7,1242202139,739,4,8033881802
7,1242207471,1226,6,8033881802
2,1242207471,578,4,8033881802
5,1242191475,88,3,8033881802
4,1242202015,451,6,8033881802
5,1242207471,681,2,8033881802
1,1242207471,610,0,8033881802
3,1242196931,467,0,8033881802
4,1242191475,461,0,8033881802
0,1242202139,516,1,8033881802
5,1242202015,401,5,8033881802
0,1242207471,1121,1,8033881802
7,1242202139,1048,1,8033881802
3,1242202015,727,1,8033881802
1,1242202139,1158,1,8033881802
5,1242202139,1296,2,8033881802
6,1242196807,134,5,8033881802
6,1242202139,198,1,8033881802
1,1242207471,376,5,8033881802
2,1242202139,1076,1,8033881802
1,1242202015,1315,3,8033881802
2,1242207471,971,3,8033881802
1,1242202139,1051,6,8033881802
