detectedActivity,geoHash,minuteOfDay,weekday,journey
7,1242213299,960,3,8000081216
7,1242213299,960,5,8000081216
7,1242479279,1140,3,8121680140
3,1242213299,960,3,8000081216
7,1242212679,1380,3,8014081216
8,1242212679,1380,1,8014081216
8,1242213299,960,1,8000081216
8,1242479279,540,2,8121680000
3,1242213299,960,5,8000081216
3,1242213299,960,1,8000081216
8,1242212679,1380,2,8014081216
3,1242479279,1140,3,8121680140
3,1242479279,1140,2,8121680140
7,1242479279,1140,2,8121680140
7,1242479279,540,4,8121680000
7,1242479279,1140,5,8121680140
3,1242479279,660,6,8121690042
3,1242213299,960,2,8000081216
7,1242213299,960,1,8000081216
7,1242212679,1380,4,8014081216
7,1242479279,540,2,8121680000
8,1242213299,960,5,8000081216
7,1242479279,1140,4,8121680140
3,1242212679,1380,5,8014081216
7,1242212679,1380,5,8014081216
3,1242479279,540,2,8121680000
8,1242479279,1140,5,8121680140
3,1242479279,540,1,8121680000
7,1242479279,660,6,8121690042
3,1242479279,1140,5,8121680140
7,1242212679,1380,2,8014081216
7,1254873327,1200,0,9004281216
7,1242213299,960,2,8000081216
8,1242479279,660,6,8121690042
8,1242213299,960,2,8000081216
3,1242479279,540,5,8121680000
3,1242479279,1140,1,8121680140
3,1242212679,1380,1,8014081216
3,1242212679,1380,4,8014081216
8,1242213299,960,4,8000081216
7,1242213299,960,4,8000081216
7,1242212679,1380,1,8014081216
8,1242479279,1140,4,8121680140
3,1242479279,540,4,8121680000
3,1242212679,1380,3,8014081216
3,1242479279,1140,4,8121680140
3,1242479279,540,3,8121680000
7,1242479279,540,5,8121680000
8,1242213299,960,4,8000081216
8,1242479279,540,4,8121680000
8,1242479279,540,1,8121680000
3,1242479279,540,5,8121680000
7,1242479279,1140,1,8121680140
3,1254873327,1200,0,9004281216
8,1242212679,1380,3,8014081216
8,1242479279,1140,3,8121680140
8,1242212679,1380,5,8014081216
8,1242212679,1380,4,8014081216
7,1242479279,540,3,8121680000
8,1254873327,1200,0,9004281216
3,1242212679,1380,2,8014081216
7,1242479279,540,1,8121680000
8,1242479279,1140,2,8121680140
8,1242213299,960,3,8000081216
8,1242479279,540,3,8121680000
