detectedActivity,geoHash,minuteOfDay,weekday,journey
7,1242479403,513,3,8121680000
2,1242479279,514,2,8121680000
1,1242479279,543,1,8121680000
5,1242479403,538,5,8121680000
1,1242479279,513,5,8121680000
2,1242479279,529,4,8121680000
6,1242479279,549,4,8121680000
3,1242479279,529,3,8121680000
5,1242479403,516,5,8121680000
1,1242479403,557,1,8121680000
2,1242479403,559,3,8121680000
4,1242479279,532,5,8121680000
6,1242479279,566,4,8121680000
5,1242479403,530,1,8121680000
1,1242479403,569,4,8121680000
4,1242479279,514,5,8121680000
2,1242479403,529,2,8121680000
5,1242479279,564,3,8121680000
2,1242479279,534,2,8121680000
1,1242479279,564,3,8121680000
3,1242479403,561,1,8121680000
3,1242479279,548,5,8121680000
4,1242479403,547,5,8121680000
6,1242479403,513,3,8121680000
5,1242479403,547,3,8121680000
4,1242479279,517,5,8121680000
7,1242479403,523,5,8121680000
1,1242479403,541,1,8121680000
4,1242479279,514,1,8121680000
1,1242479403,555,2,8121680000
5,1242479403,541,3,8121680000
3,1242479279,532,1,8121680000
3,1242479279,564,2,8121680000
4,1242479279,540,2,8121680000
6,1242479403,548,4,8121680000
5,1242479279,516,5,8121680000
1,1242479279,529,1,8121680000
0,1242479403,561,3,8121680000
0,1242479279,511,2,8121680000
1,1242479403,528,1,8121680000
7,1242213299,1023,4,8000081216
2,1242213299,967,5,8000081216
1,1242213299,1013,5,8000081216
0,1242213299,967,4,8000081216
0,1242213299,989,2,8000081216
6,1242213051,988,3,8000081216
3,1242213299,1030,4,8000081216
3,1242213299,971,3,8000081216
7,1242213299,1005,4,8000081216
7,1242213299,950,5,8000081216
7,1242213299,971,5,8000081216
5,1242213299,981,2,8000081216
2,1242213051,963,3,8000081216
6,1242213175,1022,3,8000081216
3,1242213175,964,5,8000081216
2,1242213299,990,1,8000081216
1,1242213299,965,4,8000081216
5,1242213299,1026,1,8000081216
0,1242213299,1034,4,8000081216
5,1242213299,964,4,8000081216
6,1242213299,973,3,8000081216
4,1242213299,1011,5,8000081216
1,1242213299,972,5,8000081216
7,1242213299,958,5,8000081216
6,1242213299,1016,1,8000081216
4,1242213299,947,1,8000081216
2,1242213299,983,4,8000081216
3,1242213299,951,5,8000081216
2,1242213299,987,5,8000081216
5,1242213299,1027,2,8000081216
4,1242213299,980,5,8000081216
4,1242213051,1028,4,8000081216
2,1242213299,975,5,8000081216
0,1242213175,995,5,8000081216
7,1242213051,990,3,8000081216
3,1242213299,971,3,8000081216
6,1242213299,969,4,8000081216
0,1242213299,989,5,8000081216
3,1242213299,947,4,8000081216
5,1242213175,1001,2,8000081216
6,1242436995,645,6,8121690042
3,1242479279,644,6,8121690042
1,1242479403,640,6,8121690042
3,1242479279,628,6,8121690042
1,1242479279,618,6,8121690042
7,1242479403,646,6,8121690042
1,1242479403,618,6,8121690042
1,1242479279,569,6,8121690042
4,1242479279,657,6,8121690042
2,1242436871,542,6,8121690042
2,1242479403,614,6,8121690042
7,1242479403,631,6,8121690042
5,1242479403,625,6,8121690042
1,1242479279,553,6,8121690042
0,1242479403,581,6,8121690042
1,1242479279,599,6,8121690042
7,1242479279,627,6,8121690042
4,1242479279,599,6,8121690042
0,1242479279,562,6,8121690042
3,1242479279,589,6,8121690042
0,1242479279,568,6,8121690042
5,1242479279,640,6,8121690042
0,1242479279,592,6,8121690042
4,1242479403,629,6,8121690042
4,1242479279,654,6,8121690042
3,1242479279,541,6,8121690042
6,1242479403,659,6,8121690042
3,1242479279,612,6,8121690042
0,1242479403,633,6,8121690042
7,1242479403,551,6,8121690042
3,1242479279,595,6,8121690042
4,1242479279,577,6,8121690042
6,1242479279,640,6,8121690042
7,1242479403,632,6,8121690042
1,1242479279,604,6,8121690042
0,1242479279,583,6,8121690042
1,1242479279,595,6,8121690042
4,1242479403,648,6,8121690042
2,1242479279,573,6,8121690042
4,1242479403,607,6,8121690042
2,1254873327,1222,0,9004281216
3,1254862663,1159,0,9004281216
4,1254873327,1184,0,9004281216
2,1254857331,1232,0,9004281216
0,1254862663,1234,0,9004281216
0,1254873327,1151,0,9004281216
6,1254873327,1257,0,9004281216
1,1254873327,1206,0,9004281216
7,1254873327,1219,0,9004281216
0,1254867995,1206,0,9004281216
6,1254873327,1211,0,9004281216
3,1254873327,1218,0,9004281216
7,1254862663,1156,0,9004281216
5,1254873327,1150,0,9004281216
5,1254867995,1153,0,9004281216
5,1254873327,1168,0,9004281216
7,1254873327,1229,0,9004281216
0,1254873327,1254,0,9004281216
5,1254873327,1149,0,9004281216
5,1254857331,1219,0,9004281216
7,1254873327,1253,0,9004281216
4,1254873327,1226,0,9004281216
0,1254873327,1153,0,9004281216
6,1254862663,1201,0,9004281216
4,1254873327,1231,0,9004281216
7,1254873327,1194,0,9004281216
2,1254873327,1142,0,9004281216
7,1254862663,1225,0,9004281216
3,1254873327,1228,0,9004281216
3,1254862663,1180,0,9004281216
5,1254873327,1185,0,9004281216
1,1254873327,1256,0,9004281216
3,1254873327,1233,0,9004281216
3,1254873327,1152,0,9004281216
5,1254873327,1156,0,9004281216
4,1254862663,1183,0,9004281216
2,1254873327,1246,0,9004281216
1,1254873327,1259,0,9004281216
2,1254873327,1219,0,9004281216
4,1254873327,1151,0,9004281216
1,1242479403,1089,1,8121680140
1,1242479279,1155,5,8121680140
4,1242479403,1145,1,8121680140
7,1242479403,1183,1,8121680140
5,1242479403,1183,0,8121680140
5,1242479279,1153,6,8121680140
1,1242479279,1087,5,8121680140
4,1242479403,1199,0,8121680140
2,1242479279,1111,5,8121680140
3,1242479279,1162,6,8121680140
0,1242479279,1086,1,8121680140
3,1242479403,1140,5,8121680140
4,1242479403,1193,5,8121680140
2,1242479279,1138,4,8121680140
0,1242479403,1081,1,8121680140
5,1242479403,1122,3,8121680140
1,1242479403,1176,5,8121680140
4,1242479279,1180,1,8121680140
4,1242479279,1129,3,8121680140
6,1242479279,1111,6,8121680140
0,1242479403,1086,2,8121680140
1,1242479279,1156,5,8121680140
6,1242436871,1129,6,8121680140
3,1242479403,1163,5,8121680140
7,1242436995,1106,6,8121680140
0,1242479279,1182,3,8121680140
3,1242479403,1106,6,8121680140
0,1242479279,1113,4,8121680140
4,1242479403,1186,0,8121680140
6,1242479403,1080,4,8121680140
4,1242479279,1114,4,8121680140
4,1242479279,1093,3,8121680140
1,1242479279,1185,3,8121680140
3,1242479279,1082,5,8121680140
4,1242479279,1102,4,8121680140
0,1242479279,1109,1,8121680140
1,1242479403,1137,0,8121680140
2,1242479279,1161,0,8121680140
7,1242479279,1135,1,8121680140
5,1242479403,1114,2,8121680140
7,1242207347,1353,5,8014081216
7,1242212679,1360,6,8014081216
6,1242212679,1342,1,8014081216
4,1242212679,1291,0,8014081216
1,1242212679,1324,4,8014081216
7,1242212679,1287,1,8014081216
5,1242212679,1322,1,8014081216
7,1242212679,1367,3,8014081216
2,1242212679,1318,1,8014081216
7,1242212679,1341,4,8014081216
0,1242212679,1328,0,8014081216
6,1242212679,1322,2,8014081216
0,1242212679,1298,6,8014081216
1,1242212679,1282,6,8014081216
3,1242212679,1364,5,8014081216
3,1242212679,1354,6,8014081216
