detectedActivity,geoHash,minuteOfDay,weekday,journey
1,1242479279,189,0,8121680000
0,1242479279,848,7,8121680000
0,1242481883,1245,5,8000081216
0,1242481883,1245,5,8121680000
4,1242481883,1246,5,8121680000
4,1242481883,1246,5,8000081216
4,1242481883,1246,5,8121680000
4,1242481883,1246,5,8121680000
4,1242481883,1246,5,8000081216
3,1242481883,1247,5,8121680000
3,1242481883,1247,5,8121680000
3,1242481883,1247,5,8121680000
3,1242481883,1247,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8000081216
3,1242481883,1299,5,8121680000
3,1242481883,1299,5,8121686239
3,1242481883,1299,5,8121686239
3,1242481883,1299,5,8121686239
3,1242481883,1299,5,8121686239
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8121686239
3,1242481883,1300,5,8121686239
3,1242481883,1300,5,8121686239
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1300,5,8623981216
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8623981216
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8121686239
3,1242481883,1349,5,8121686239
3,1242481883,1350,5,8121686239
3,1242481883,1350,5,8121686239
3,1242481883,1358,5,8121686239
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8623981216
3,1242481883,1359,5,8121686239
3,1242481883,1359,5,8121686239
3,1242481883,1363,5,8121686239
3,1242481883,1363,5,8623981216
3,1242481883,1363,5,8121686239
3,1242481883,1363,5,8623981216
4,1242481883,1369,5,8623981216
4,1242481883,1369,5,8623981216
3,1242481883,620,6,8623981216
3,1242481883,620,6,8121686239
3,1242481883,620,6,8623981216
3,1242481883,623,6,8623981216
3,1242481883,623,6,8623981216
3,1242481883,632,6,8623981216
3,1242481883,638,6,8121686239
3,1242481883,638,6,8121686239
3,1242481883,638,6,8623981216
