detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1242212679,1083,5,9110381703
3,1242212679,1083,5,9110381703
3,1242212679,1083,5,8170391103
3,1242212679,1083,5,9110381703
3,1242212679,1091,5,9110381703
3,1242212679,1091,5,8170391103
3,1242212679,1091,5,9110381703
3,1242212679,1091,5,8170391103
3,1242212679,1091,5,9110381703
3,1242212679,1091,5,9110380000
3,1242212679,1091,5,8001480000
3,1242212679,1091,5,8000080014
3,1242212679,1092,5,8000080014
4,1242481883,1250,5,8000080014
4,1242481883,622,6,8000080014
4,1242481883,623,6,8001480000
4,1242481883,640,6,8001480000
