detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1242436375,667,4,8170391103
5,1242436375,916,6,8170391103
0,1242436375,217,3,8170391103
0,1242436375,754,1,8170391103
1,1242436375,1239,4,8170391103
4,1242436375,1257,0,8170391103
4,1242436375,777,0,8170391103
4,1242436375,1072,5,8170391103
1,1242436375,1195,3,8170391103
5,1242436375,973,0,8170391103
2,1242436375,23,5,8170391103
2,1242436375,873,6,8170391103
7,1242436375,1332,1,8170391103
4,1242436375,636,0,8170391103
3,1242436375,961,3,8170391103
7,1242436375,724,4,8170391103
6,1242436375,83,0,8170391103
3,1242436375,1214,4,8170391103
1,1242436375,689,5,8170391103
5,1242436375,764,4,8170391103
5,1242436375,186,3,8170391103
1,1242436375,1044,4,8170391103
2,1242436375,237,4,8170391103
0,1242436375,997,5,8170391103
7,1242436375,337,2,8170391103
3,1242436375,1112,2,8170391103
3,1242436375,464,0,8170391103
6,1242436375,670,6,8170391103
0,1242436375,448,1,8170391103
6,1242436375,786,1,8170391103
2,1242436375,736,6,8170391103
1,1242436375,747,1,8170391103
2,1242436375,1275,1,8170391103
3,1242436375,485,1,8170391103
6,1242436375,887,5,8170391103
4,1242436375,521,1,8170391103
1,1242436375,975,1,8170391103
0,1242436375,368,2,8170391103
1,1242436375,896,6,8170391103
6,1242436375,1027,3,8170391103
7,1242436375,154,0,8170391103
0,1242436375,1374,1,8170391103
1,1242436375,285,0,8170391103
3,1242436375,297,0,8170391103
5,1242436375,805,6,8170391103
4,1242436375,831,4,8170391103
1,1242436375,577,6,8170391103
3,1242436375,479,5,8170391103
7,1242436375,508,6,8170391103
1,1242436375,231,3,8170391103
5,1242436375,92,6,8170391103
5,1242436375,431,5,8170391103
7,1242436375,590,3,8170391103
2,1242436375,388,5,8170391103
0,1242436375,1050,1,8170391103
4,1242436375,236,1,8170391103
3,1242436375,539,6,8170391103
4,1242436375,236,0,8170391103
1,1242436375,528,2,8170391103
0,1242436375,565,4,8170391103
6,1242436375,1149,5,8170391103
0,1242436375,118,4,8170391103
4,1242436375,662,5,8170391103
6,1242436375,1090,2,8170391103
2,1242436375,1314,1,8170391103
6,1242436375,649,3,8170391103
5,1242436375,312,6,8170391103
4,1242436375,1026,1,8170391103
3,1242436375,54,4,8170391103
6,1242436375,544,3,8170391103
2,1242436375,437,5,8170391103
1,1242436375,729,3,8170391103
6,1242436375,134,2,8170391103
3,1242436375,734,1,8170391103
5,1242436375,1306,6,8170391103
3,1242436375,435,5,8170391103
5,1242436375,1033,5,8170391103
7,1242436003,1321,2,8170391103
2,1242436375,972,0,8170391103
1,1242436375,33,5,8170391103
7,1242382683,917,4,8001480000
0,1242382683,135,6,8001480000
7,1242384047,917,6,8001480000
5,1242382683,116,6,8001480000
4,1242384047,388,2,8001480000
4,1242382683,215,1,8001480000
4,1242384047,894,6,8001480000
5,1242384047,1358,1,8001480000
2,1242382683,911,2,8001480000
4,1242382683,113,1,8001480000
2,1242384047,492,1,8001480000
0,1242382683,1048,4,8001480000
6,1242382683,167,0,8001480000
0,1242382683,135,4,8001480000
4,1242384047,1146,1,8001480000
5,1242382683,662,4,8001480000
1,1242382683,1039,6,8001480000
2,1242382683,66,2,8001480000
0,1242384047,17,1,8001480000
1,1242382683,692,4,8001480000
3,1242382683,874,1,8001480000
2,1242382683,340,5,8001480000
1,1242384047,1071,4,8001480000
5,1242382683,1041,5,8001480000
6,1242382683,91,5,8001480000
3,1242382683,232,2,8001480000
6,1242384047,241,6,8001480000
2,1242382683,1221,0,8001480000
5,1242382683,421,1,8001480000
6,1242384047,312,6,8001480000
2,1242384047,1322,2,8001480000
1,1242384047,1044,1,8001480000
2,1242382683,960,3,8001480000
4,1242382683,793,3,8001480000
5,1242382683,1062,3,8001480000
0,1242384047,178,2,8001480000
3,1242382683,175,6,8001480000
7,1242382683,1175,2,8001480000
7,1242384047,87,2,8001480000
4,1242384047,560,0,8001480000
5,1242382683,1297,3,8001480000
2,1242384047,1343,1,8001480000
2,1242382683,1297,1,8001480000
1,1242384047,348,2,8001480000
0,1242382683,1013,2,8001480000
6,1242384047,148,5,8001480000
5,1242382683,1249,4,8001480000
7,1242384047,347,6,8001480000
6,1242382683,512,4,8001480000
7,1242382683,1011,6,8001480000
3,1242382683,481,2,8001480000
4,1242382683,1339,6,8001480000
7,1242382683,144,4,8001480000
1,1242382683,128,5,8001480000
2,1242382683,623,2,8001480000
6,1242384047,38,4,8001480000
6,1242382683,312,5,8001480000
6,1242384047,547,4,8001480000
2,1242382683,1098,3,8001480000
4,1242382683,324,0,8001480000
0,1242384047,465,2,8001480000
1,1242384047,1162,5,8001480000
4,1242384047,1316,0,8001480000
6,1242384047,1305,5,8001480000
3,1242384047,313,6,8001480000
7,1242382683,391,2,8001480000
3,1242384047,1013,4,8001480000
6,1242382683,285,4,8001480000
0,1242382683,1240,1,8001480000
5,1242382683,201,3,8001480000
7,1242382683,406,6,8001480000
1,1242382683,811,6,8001480000
4,1242384047,393,0,8001480000
2,1242382683,755,2,8001480000
4,1242384047,983,6,8001480000
6,1242382683,404,5,8001480000
0,1242384047,1079,3,8001480000
4,1242382683,1219,4,8001480000
0,1242382683,885,5,8001480000
0,1242382683,84,0,8001480000
