detectedActivity,longitude,latitude,geoHash,locationAccuracy,time,minuteOfDay,weekday,monthday,detectedActivityConfidence,journey
1,12.995240355259021,55.6088582544491,1242213051,-1,1548697781589,1063,0,-1,100,8000280000
5,12.99515527020312,55.60884702362351,1242213051,-1,1548697781590,1134,0,-1,100,8000280000
4,12.995258506436997,55.60887952495722,1242213051,-1,1548697781591,717,0,-1,100,8000280000
6,12.995236539439787,55.60880761256756,1242213051,-1,1548697781592,88,0,-1,100,8000280000
0,12.995259972432606,55.60886648873739,1242213051,-1,1548697781593,141,0,-1,100,8000280000
2,12.99521598544555,55.60887823929974,1242213051,-1,1548697781594,314,0,-1,100,8000280000
2,12.995283363325115,55.60878563795416,1242213051,-1,1548697781595,275,0,-1,100,8000280000
1,12.995245047570101,55.60885518265776,1242213051,-1,1548697781597,1271,0,-1,100,8000280000
0,12.995228476172624,55.608852128132156,1242213051,-1,1548697781598,970,0,-1,100,8000280000
7,12.995177883225562,55.60885760084666,1242213051,-1,1548697781599,143,0,-1,100,8000280000
3,12.995275267205779,55.6087903736984,1242213051,-1,1548697781600,496,0,-1,100,8000280000
4,12.99527209300527,55.60876387635617,1242213051,-1,1548697781601,759,0,-1,100,8000280000
3,12.9952152528285,55.608915610867044,1242213051,-1,1548697781602,143,0,-1,100,8000280000
5,12.99520641308485,55.60877295290552,1242213051,-1,1548697781603,1174,0,-1,100,8000280000
1,12.99520273665937,55.60892230511302,1242213051,-1,1548697781604,212,0,-1,100,8000280000
7,12.995228638635007,55.60887053318048,1242213051,-1,1548697781605,1327,0,-1,100,8000280000
4,12.995195545534349,55.608777926323995,1242213051,-1,1548697781606,845,0,-1,100,8000280000
6,12.99530326990243,55.60888616315541,1242213051,-1,1548697781607,578,0,-1,100,8000280000
2,12.995220657136647,55.60880705000842,1242213051,-1,1548697781608,1372,0,-1,100,8000280000
4,12.995218964656386,55.60883074867445,1242213051,-1,1548697781610,541,0,-1,100,8000280000
3,12.995235608793,55.608807314723,1242213051,-1,1548697781611,568,0,-1,100,8000280000
4,12.995249478617966,55.60881683979325,1242213051,-1,1548697781611,421,0,-1,100,8000280000
5,12.9952748873643,55.60880516523171,1242213051,-1,1548697781612,975,0,-1,100,8000280000
6,12.995144007298192,55.608795460615696,1242213051,-1,1548697781613,278,0,-1,100,8000280000
6,12.995263803783503,55.608769630765366,1242213051,-1,1548697781613,99,0,-1,100,8000280000
6,12.99520006509412,55.60883337968644,1242213051,-1,1548697781614,996,0,-1,100,8000280000
2,12.995236591586067,55.608831529301405,1242213051,-1,1548697781614,1268,0,-1,100,8000280000
5,12.995268967334772,55.60885399270369,1242213051,-1,1548697781615,1272,0,-1,100,8000280000
6,12.995187690922902,55.608810980797585,1242213051,-1,1548697781615,371,0,-1,100,8000280000
0,12.99513586531175,55.60882764312652,1242213051,-1,1548697781616,1262,0,-1,100,8000280000
6,12.99520141355303,55.60882521709736,1242213051,-1,1548697781616,87,0,-1,100,8000280000
6,12.995209448831233,55.6088759865838,1242213051,-1,1548697781617,1017,0,-1,100,8000280000
7,12.995235697131701,55.60882926424024,1242213051,-1,1548697781617,46,0,-1,100,8000280000
0,12.995150384618286,55.6088040149282,1242213051,-1,1548697781618,576,0,-1,100,8000280000
0,12.99522114299737,55.608827255055395,1242213051,-1,1548697781618,693,0,-1,100,8000280000
2,12.995218770096686,55.60881763767061,1242213051,-1,1548697781619,662,0,-1,100,8000280000
6,12.995224780956661,55.60884248315948,1242213051,-1,1548697781619,905,0,-1,100,8000280000
4,12.995204720654497,55.60887361671929,1242213051,-1,1548697781619,1272,0,-1,100,8000280000
1,12.99526483412483,55.60891790242158,1242213051,-1,1548697781620,632,0,-1,100,8000280000
2,12.995193088335332,55.608821142316785,1242213051,-1,1548697781620,1290,0,-1,100,8000280000
1,12.999531662275256,55.6089632413702,1242213299,-1,1548697786959,114,0,-1,100,8000080002
3,12.999534171807868,55.60892803448773,1242213299,-1,1548697786961,654,0,-1,100,8000080002
0,12.999592892748618,55.60894081429828,1242213299,-1,1548697786962,1380,0,-1,100,8000080002
2,12.99959879543884,55.608846379155445,1242213299,-1,1548697786963,888,0,-1,100,8000080002
2,12.999563040050575,55.60891932511926,1242213299,-1,1548697786964,273,0,-1,100,8000080002
7,12.999617491913463,55.60895370992463,1242213299,-1,1548697786966,696,0,-1,100,8000080002
2,12.999576320054016,55.60891695013588,1242213299,-1,1548697786967,1188,0,-1,100,8000080002
1,12.999627569278834,55.60889392343795,1242213299,-1,1548697786968,211,0,-1,100,8000080002
5,12.999575253181536,55.608878514003344,1242213299,-1,1548697786969,1350,0,-1,100,8000080002
2,12.999578953106894,55.60890781026841,1242213299,-1,1548697786971,1308,0,-1,100,8000080002
0,12.999553491205,55.60897671834276,1242213299,-1,1548697786972,1149,0,-1,100,8000080002
4,12.999517988996457,55.60894042060469,1242213299,-1,1548697786973,701,0,-1,100,8000080002
6,12.99964436341455,55.6089259246631,1242213299,-1,1548697786974,317,0,-1,100,8000080002
0,12.999546849998552,55.60895225192765,1242213299,-1,1548697786976,246,0,-1,100,8000080002
1,12.99956326740181,55.60891898771379,1242213299,-1,1548697786977,297,0,-1,100,8000080002
5,12.999550216310562,55.608905888643335,1242213299,-1,1548697786978,545,0,-1,100,8000080002
6,12.999487988731774,55.60892319681916,1242213299,-1,1548697786979,1237,0,-1,100,8000080002
4,12.999574977595366,55.608942211273465,1242213299,-1,1548697786980,502,0,-1,100,8000080002
0,12.999573585427372,55.60893305841778,1242213299,-1,1548697786982,809,0,-1,100,8000080002
2,12.999625730319403,55.60886235697038,1242213299,-1,1548697786983,1249,0,-1,100,8000080002
5,12.99957815203804,55.6089187903012,1242213299,-1,1548697786984,329,0,-1,100,8000080002
1,12.999567439998838,55.60893286787884,1242213299,-1,1548697786985,640,0,-1,100,8000080002
5,12.999557762981429,55.60898736656984,1242213299,-1,1548697786986,142,0,-1,100,8000080002
0,12.999563462020397,55.60900677198598,1242213299,-1,1548697786987,237,0,-1,100,8000080002
2,12.999553971818786,55.608902405568664,1242213299,-1,1548697786988,975,0,-1,100,8000080002
7,12.999539951920816,55.60889015611143,1242213299,-1,1548697786989,391,0,-1,100,8000080002
2,12.99952349541584,55.608845378249256,1242213299,-1,1548697786990,560,0,-1,100,8000080002
5,12.999659229239898,55.60894961382715,1242213299,-1,1548697786991,743,0,-1,100,8000080002
5,12.999568507137928,55.60894255503792,1242213299,-1,1548697786992,168,0,-1,100,8000080002
3,12.999647304710113,55.60897536655757,1242213299,-1,1548697786993,251,0,-1,100,8000080002
7,12.999579112872354,55.608920393938114,1242213299,-1,1548697786994,684,0,-1,100,8000080002
1,12.999537612738326,55.60895616834181,1242213299,-1,1548697786995,347,0,-1,100,8000080002
2,12.999565903482319,55.60886931208534,1242213299,-1,1548697786996,1369,0,-1,100,8000080002
5,12.999564377695698,55.60891769067106,1242213299,-1,1548697786997,401,0,-1,100,8000080002
3,12.999576078854817,55.6089066751994,1242213299,-1,1548697786998,1219,0,-1,100,8000080002
2,12.999610156989263,55.60885145791838,1242213299,-1,1548697786999,1260,0,-1,100,8000080002
1,12.999593637649115,55.60898450371991,1242213299,-1,1548697787000,221,0,-1,100,8000080002
4,12.99955560185581,55.608967719404234,1242213299,-1,1548697787001,208,0,-1,100,8000080002
6,12.999621756340066,55.60890311597967,1242213299,-1,1548697787002,890,0,-1,100,8000080002
