detectedActivity,geoHash,minuteOfDay,weekday,journey
0,1254444535,159,4,9110381216
3,1254444535,1093,0,9110381216
3,1254444535,1256,0,9110381216
1,1254444535,321,5,9110381216
4,1254444535,1216,0,9110381216
1,1254444535,1320,4,9110381216
7,1254444535,607,5,9110381216
1,1254444535,117,2,9110381216
2,1254444535,1213,3,9110381216
7,1254444535,877,0,9110381216
6,1254444535,264,1,9110381216
0,1254444535,275,0,9110381216
7,1254444535,908,4,9110381216
3,1254444535,519,2,9110381216
2,1254444535,631,1,9110381216
6,1254444535,211,3,9110381216
5,1254444535,513,3,9110381216
2,1254444535,501,4,9110381216
5,1254444535,295,6,9110381216
0,1254444535,1192,2,9110381216
4,1254444535,216,5,9110381216
3,1254444535,737,5,9110381216
4,1254444535,31,4,9110381216
2,1254444535,59,0,9110381216
7,1254444535,909,2,9110381216
0,1254444535,746,0,9110381216
4,1254444535,72,1,9110381216
1,1254444535,290,5,9110381216
1,1254444163,212,0,9110381216
3,1254444535,911,0,9110381216
6,1254444535,830,4,9110381216
0,1254444535,758,2,9110381216
5,1254444535,539,6,9110381216
3,1254444535,555,5,9110381216
1,1254444535,979,3,9110381216
2,1254444535,259,5,9110381216
3,1254444535,724,3,9110381216
2,1254444535,73,2,9110381216
4,1254444535,1361,5,9110381216
2,1254444535,729,0,9110381216
5,1254444535,499,1,9110380308
2,1254444535,997,1,9110380308
0,1254444535,953,6,9110380308
2,1254444535,1279,4,9110380308
7,1254444535,452,6,9110380308
7,1254444535,1203,6,9110380308
6,1254444535,1102,4,9110380308
3,1254444535,821,0,9110380308
1,1254444535,511,0,9110380308
7,1254444535,1061,1,9110380308
3,1254444535,172,0,9110380308
5,1254444535,1114,4,9110380308
4,1254444535,1130,4,9110380308
7,1254444535,235,3,9110380308
1,1254444535,1277,0,9110380308
0,1254444535,204,3,9110380308
7,1254444535,1264,6,9110380308
1,1254444535,71,5,9110380308
7,1254444535,365,3,9110380308
3,1254444535,843,3,9110380308
0,1254444535,1326,3,9110380308
4,1254444535,864,1,9110380308
0,1254444535,757,5,9110380308
3,1254444535,802,2,9110380308
6,1254444535,31,3,9110380308
5,1254444535,936,6,9110380308
6,1254444535,313,5,9110380308
1,1254444535,1138,3,9110380308
3,1254444535,1183,4,9110380308
2,1254444535,1260,3,9110380308
1,1254444535,422,0,9110380308
5,1254444535,852,6,9110380308
6,1254444535,460,2,9110380308
7,1254444535,718,5,9110380308
2,1254444535,76,3,9110380308
2,1254444535,461,3,9110380308
1,1254444535,1185,4,9110380308
2,1254444535,300,1,9110380308
2,1254444535,241,0,9110380308
0,1254444535,548,1,9110380308
7,1254444535,490,5,9110380308
5,1254444535,1011,2,9110380308
6,1254444535,609,3,9110380308
4,1254444535,364,5,9110380308
6,1254444535,205,4,9110380308
1,1254444163,1134,4,9110380308
3,1254444535,578,2,9110380308
6,1254444535,957,5,9110380308
3,1254444535,70,0,9110380308
4,1254444535,189,5,9110380308
4,1254444535,281,1,9110380308
7,1254444535,1135,3,9110380308
4,1254444535,434,4,9110380308
5,1254444535,1145,1,9110380308
1,1254444535,153,2,9110380308
5,1254444163,1006,1,9110380308
4,1254444535,102,5,9110380308
0,1254444535,1092,0,9110380308
4,1254444535,1326,3,9110380308
6,1254444535,987,1,9110380308
3,1254444535,1295,4,9110380308
5,1254444535,391,2,9110380308
3,1254444535,374,5,9110380308
7,1254444535,743,6,9110380308
5,1254444535,997,1,9110380308
6,1254444535,140,0,9110380308
0,1254444535,1272,3,9110380308
5,1254444535,244,6,9110380308
0,1254444535,269,3,9110380308
0,1254444535,1046,2,9110380308
2,1254444535,957,6,9110380308
4,1254444535,247,3,9110380308
6,1254444535,897,1,9110380308
7,1254444535,782,3,9110380308
