detectedActivity,geoHash,minuteOfDay,weekday,journey
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8121680000
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8000081216
3,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8121680000
4,1242481883,1253,3,8121680000
4,1242481883,1253,3,8121680000
4,1242481883,1253,3,8121680000
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8000081216
4,1242481883,1253,3,8121680000
4,1242481883,1253,3,8121680000
3,1242479403,567,2,8121680000
1,1242479279,493,2,8121680000
7,1242479279,1303,1,8121680000
6,1242479279,683,3,8121680000
2,1242479279,405,5,8121680000
7,1242479403,924,5,8121680000
5,1242479403,662,7,8121680000
2,1242479279,958,0,8121680000
6,1242479279,1189,4,8121680000
6,1242479279,153,4,8121680000
7,1242479403,804,6,8121680000
1,1242479279,86,0,8121680000
0,1242479279,24,5,8121680000
0,1242479279,1364,1,8121680000
0,1242479279,1143,2,8121680000
1,1242479279,436,0,8121680000
3,1242479403,981,1,8121680000
1,1242479279,1139,0,8121680000
4,1242479403,509,7,8121680000
4,1242479279,0,7,8121680000
1,1242479279,594,1,8121680000
1,1242479279,845,7,8121680000
0,1242479279,490,1,8121680000
4,1242479279,917,3,8121680000
1,1242479279,299,7,8121680000
0,1242479279,439,4,8121680000
6,1242479279,582,3,8121680000
2,1242479403,1315,1,8121680000
7,1242479403,758,1,8121680000
1,1242479279,1307,7,8121680000
2,1242479279,331,3,8121680000
0,1242479403,1270,1,8121680000
7,1242479279,1297,7,8121680000
7,1242479279,785,3,8121680000
1,1242479279,1056,1,8121680000
7,1242479279,1121,2,8121680000
3,1242479279,195,2,8121680000
5,1242479279,1282,4,8121680000
1,1242479279,1348,7,8121680000
0,1242479279,1004,2,8121680000
7,1242479279,1091,4,8121680000
6,1242479279,106,7,8121680000
3,1242479279,439,5,8121680000
0,1242479279,1178,5,8121680000
2,1242479403,7,7,8121680000
1,1242479403,1045,6,8121680000
2,1242479279,660,4,8121680000
2,1242479403,525,7,8121680000
3,1242479279,822,2,8121680000
6,1242479279,178,0,8121680000
4,1242481883,1260,3,8121680000
4,1242481883,1260,3,8121680000
